date_only,BUY,SELL,long_count,short_count,long_ratio
2025-04-09,1764,2203,1764,2203,0.44466851525081924
2025-04-10,1137,990,1137,990,0.5345557122708039
2025-04-11,312,784,312,784,0.2846715328467153
2025-04-12,800,1309,800,1309,0.3793266951161688
2025-04-13,739,582,739,582,0.5594246782740349
2025-04-14,517,373,517,373,0.5808988764044943
2025-04-15,344,787,344,787,0.3041556145004421
2025-04-16,835,773,835,773,0.5192786069651741
2025-04-17,341,690,341,690,0.33074684772065954
2025-04-18,755,1139,755,1139,0.3986272439281943
2025-04-19,999,1787,999,1787,0.35857860732232594
2025-04-20,1079,903,1079,903,0.5443995963673057
2025-04-21,604,1114,604,1114,0.35157159487776485
2025-04-22,1420,1578,1420,1578,0.47364909939959976
2025-04-23,4218,1941,4218,1941,0.6848514369215781
2025-04-24,1223,1009,1223,1009,0.5479390681003584
2025-04-25,681,972,681,972,0.41197822141560797
2025-04-26,604,527,604,527,0.5340406719717065
2025-04-27,209,128,209,128,0.6201780415430267
2025-04-28,652,727,652,727,0.47280638143582304
2025-04-29,1105,1138,1105,1138,0.49264378065091396
2025-04-30,838,275,838,275,0.7529200359389039
2025-05-01,686,544,686,544,0.5577235772357724
